campaign;ad_group;match_type;phrase;region_layer;priority;intent;action
DT_Search_Hot_MSK_SPB;Мягкие игрушки с логотипом;exact;"мягкие игрушки с логотипом на заказ";Москва+СПБ;A;Горячий B2B заказ тиража;Запускать
DT_Search_Hot_MSK_SPB;Мягкие игрушки с логотипом;exact;"мягкая игрушка с логотипом на заказ";Москва+СПБ;A;Горячий B2B заказ тиража;Запускать
DT_Search_Hot_MSK_SPB;Мягкие игрушки с логотипом;phrase;"мягкие игрушки с логотипом";Москва+СПБ;A;Коммерческий интент, но нужен контроль минус-слов;Запускать с минусами
DT_Search_Hot_MSK_SPB;Плюшевые игрушки на заказ;exact;"плюшевые игрушки на заказ";Москва+СПБ;A;Заказ кастомной плюшевой игрушки;Запускать с уточняющим объявлением про тираж от 200
DT_Search_Hot_MSK_SPB;Плюшевые игрушки на заказ;exact;"плюшевые игрушки на заказ оптом";Москва+СПБ;A;Оптовый заказ, ближе к целевому B2B;Запускать
DT_Search_Hot_MSK_SPB;Плюшевые игрушки с логотипом;exact;"плюшевые игрушки с логотипом";Москва+СПБ;A;Брендирование, целевой B2B;Запускать
DT_Search_Hot_MSK_SPB;Плюшевые игрушки с логотипом;exact;"плюшевые игрушки с логотипом на заказ";Москва+СПБ;A;Брендирование + заказ;Запускать
DT_Search_Hot_MSK_SPB;Брендированные мягкие игрушки;exact;"брендированные мягкие игрушки";Москва+СПБ;A;Прямой B2B интент;Запускать
DT_Search_Hot_MSK_SPB;Брендированные мягкие игрушки;exact;"брендированные мягкие игрушки на заказ";Москва+СПБ;A;Прямой B2B интент;Запускать
DT_Search_Hot_MSK_SPB;Корпоративные мягкие игрушки;exact;"корпоративные мягкие игрушки";Москва+СПБ;A;Корпоративный подарок / мерч;Запускать
DT_Search_Hot_MSK_SPB;Корпоративные мягкие игрушки;exact;"фирменные мягкие игрушки";Москва+СПБ;A;Фирменный мерч;Запускать
